situation elements:2
	8|Gen|1132
	31|Date|2017-11-01 10:22:12.182000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:305.00000043
			high24hr:310.59999999
			highestbid:305.00000071
			percentchange:-0.00343081
			low24hr:304.80000000
			lowestask:305.99999967
			candle300|288
				1509473700|306.88899785|306.02000001|306.02000001|306.88899782|306.29226345|7779.37044885
				1509473400|306.50000379|306.50000379|306.50000379|306.50000379|306.50000379|0.00000000
				1509473100|306.50000379|306.50000144|306.50000379|306.50000144|306.50000231|5905.78316638
				1509472800|307.00000000|306.50000010|306.99999995|307.00000000|306.55864538|3780.15515907
				1509472500|307.42465000|306.91507002|306.91507002|307.26067340|307.11629237|4304.36832571
				1509472200|307.26067341|306.48570003|307.00000000|306.70764608|306.78425373|5008.85691151
				1509471900|306.70764909|306.48570782|306.70764608|306.48570782|306.69413007|9243.13625875
				1509471600|306.48569922|306.00000003|306.48569922|306.00000003|306.06032839|599.81755189
				1509471300|306.48570189|305.66000079|306.48570189|305.66000079|306.01437894|1069.52025441
				1509471000|306.70764499|306.48570473|306.48570473|306.70764499|306.70529159|2359.34788870
				1509470700|306.70764881|305.48570740|306.70764605|305.52091644|306.28400920|26039.32648292
				1509470400|306.70764909|305.48570739|305.52091644|306.70764909|305.54022264|18644.89041091
				1509470100|306.70764983|305.48571203|306.70764905|305.48571204|306.65276419|6349.60404561
				1509469800|306.70765018|305.48570942|305.48571154|306.53000000|306.41656652|3518.73411164
				1509469500|306.53002066|305.48570739|306.53002066|305.48570739|305.95248767|21491.72282906
				1509469200|306.99998778|305.48570739|305.48570740|306.01000006|305.56271149|17910.57576385
				1509468900|306.99999605|306.00101034|306.99999475|306.99999605|306.70045859|9287.40514300
				1509468600|306.99999723|306.00000000|306.99999638|306.05219779|306.45565759|10422.36711464
				1509468300|307.19999851|306.05219302|306.05219681|306.05219302|306.47290173|13183.93178805
				1509468000|307.26067171|306.05218954|307.26067171|306.05218954|307.26011312|664.75285786
				1509467700|307.26067341|306.03163198|306.03163286|306.10472938|306.87766526|13731.63795575
				1509467400|307.64073974|306.10472924|306.10472925|307.64073974|307.24280979|8238.39014442
				1509467100|307.99999655|306.94400000|306.94400000|306.94400000|307.12733547|583.77891378
				1509466800|308.00000000|306.46000024|307.99999966|306.46000024|307.16465174|18461.71442325
				1509466500|307.60000000|305.86900572|307.60000000|306.99999860|307.32846891|19708.93675364
				1509466200|306.99999958|305.86900172|306.99999958|306.65829427|306.36820255|1930.19834535
				1509465900|306.65829427|306.65829417|306.65829427|306.65829417|306.65829418|2495.63512512
				1509465600|306.77829426|306.00000000|306.65829426|306.50100168|306.49962301|4019.99151323
				1509465300|306.50100177|305.50100053|306.50100175|306.48570739|306.43925220|7174.23347587
				1509465000|306.48570748|305.40291924|306.48570748|306.00000000|305.97178946|10040.22018545
				1509464700|306.60875756|305.96000006|306.60875629|306.00000468|306.13107806|12484.48592529
				1509464400|307.21167500|306.00000237|306.00000373|306.75167362|306.85770181|2894.89454628
				1509464100|307.21167675|306.00000000|306.75167362|307.21167453|306.92606276|93468.35572942
				1509463800|307.15350000|306.49000001|306.72599994|306.89000000|306.74984247|22189.52865963
				1509463500|306.90000000|306.00001033|306.89000000|306.40000000|306.67067235|11981.85131034
				1509463200|306.72681637|306.00000691|306.00000943|306.00000691|306.12497085|5012.16633746
