situation elements:2
	8|Gen|6215
	31|Date|2018-02-23 02:52:10.352000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:817.90917304
			high24hr:869.99999999
			highestbid:816.87592833
			percentchange:-0.02046805
			low24hr:790.45999000
			lowestask:817.90917341
			candle300|288
				1519314600|817.99999999|816.87592833|817.90917304|816.87592833|817.91462284|13990.31527103
				1519314300|816.87592833|809.99999999|816.87592833|810.00000001|810.61554447|37623.77366546
				1519314000|816.17336788|810.00000001|810.00000001|814.00000002|811.27644622|55989.46346405
				1519313700|816.17336859|810.92753535|814.00000002|814.43127026|814.43276370|133171.96747737
				1519313400|814.43127030|810.00000010|814.43127026|811.99999999|814.19202273|36694.72857845
				1519313100|811.99999999|807.99999959|809.88150792|807.99999959|808.95284816|34347.17375030
				1519312800|808.00000000|802.50000217|808.00000000|804.00100447|805.41460194|16699.85041862
				1519312500|805.00000000|802.50000000|804.00100447|805.00000000|803.65462870|9108.33931022
				1519312200|806.86000001|804.00100213|804.00100408|806.86000001|804.65884586|6447.29156168
				1519311900|806.90000000|803.00000018|806.90000000|803.00000018|804.80684933|8284.56830980
				1519311600|804.99999998|800.00000092|801.71120160|800.00000092|803.48226879|4621.43588074
				1519311300|800.00000099|792.49999995|800.00000091|792.49999995|797.32199113|20887.72306524
				1519311000|793.62420153|790.45999000|790.45999002|793.62420153|790.54180825|38739.36154180
				1519310700|799.99999577|790.45999006|791.25045047|798.00000005|792.35797830|77246.68430174
				1519310400|798.00000005|796.00000021|798.00000005|796.00000021|796.48842986|1825.87688659
				1519310100|798.00000000|796.00000014|796.00000014|797.00000902|797.00018253|188286.31773039
				1519309800|800.00000100|797.00000000|797.00000005|800.00000028|799.03328698|39410.19385707
				1519309500|808.00000000|800.00000009|800.00000013|808.00000000|801.93197710|39469.24345998
				1519309200|808.00000000|804.23000120|805.00000086|807.44323416|805.91091961|34248.34998100
				1519308900|807.44323434|802.22000023|804.23000054|804.00000000|805.00714249|15700.36628872
				1519308600|805.74216774|801.71119985|804.22999902|801.71119985|804.25600105|14572.63916930
				1519308300|805.74217061|800.00000000|801.00000000|803.00000001|801.18997466|30071.17410783
				1519308000|805.74217095|796.00000076|803.00000000|797.99999884|799.67105226|74329.51142379
				1519307700|798.00000000|793.00000260|795.00000034|797.99999969|795.87585460|14640.27292571
				1519307400|798.00000000|792.24831818|797.99999973|792.24831819|795.72110512|17519.69841760
				1519307100|797.99999949|792.24831817|797.99999715|797.99999949|793.42420095|13065.12679983
				1519306800|798.66994581|793.28158101|794.07486259|794.07486259|793.33302495|48925.29972163
				1519306500|801.28413070|791.90000001|794.07486259|793.28348923|793.26040288|41503.29213397
				1519306200|802.99999968|790.45999024|793.28348936|791.90000001|796.49191949|39370.74614171
				1519305900|795.00000009|791.00000004|791.00000004|795.00000008|792.89713222|235012.43520006
				1519305600|800.00000016|795.00000000|795.00000018|799.60000070|797.17458104|54739.34514199
				1519305300|804.09999995|799.60000007|799.60000028|800.00000026|801.64523122|20165.59240762
				1519305000|801.99890000|799.60000000|800.00000001|801.63244917|800.31771297|18823.56371739
				1519304700|808.01465426|801.63244920|802.00000000|807.44323428|804.92192468|88777.43169463
				1519304400|807.44323439|798.34000013|807.44323434|799.46867000|800.09007614|110891.04591141
				1519304100|801.92500000|798.67000000|800.04145512|801.92500000|800.02059804|163965.95038104
				1519303800|806.28999996|801.00000000|801.00000000|806.28999996|802.50669574|64822.65311849
				1519303500|809.69318244|803.50000007|806.29000000|809.69318244|804.38263757|46108.48780493
				1519303200|814.24861039|809.88110237|809.88110237|814.24861039|810.68558278|89619.79603806
				1519302900|818.19862112|814.24861040|814.24861040|815.06285900|815.33538381|6238.51422103
				1519302600|821.19862403|814.24861039|815.06285900|821.19862403|817.90502998|16939.25056211
				1519302300|828.80240600|821.00000009|821.00000009|828.79577332|822.44359240|17987.70095103
				1519302000|830.19862406|829.13018758|830.19862406|829.13018758|830.07675462|27839.39283676
