situation elements:2
	8|Gen|7392
	31|Date|2018-03-16 21:25:10.509000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:598.99999396
			high24hr:620.85282135
			highestbid:597.99999443
			percentchange:-0.02293951
			low24hr:583.00000067
			lowestask:598.99999843
			candle300|287
				1521195600|598.99999396|596.45668059|598.99999396|596.45668059|597.53954100|419.08985444
				1521195300|598.99999880|596.45667969|598.99999880|597.73254642|597.24333482|5795.23392649
				1521195000|599.10000000|597.73254685|597.73254685|597.73255273|598.92377287|2822.25997609
				1521194700|597.73254934|597.73254896|597.73254934|597.73254896|597.73254919|1580.48361133
				1521194400|603.78522740|598.00000105|598.51745342|603.78522739|600.41196532|6223.42621171
				1521194100|603.97005733|596.00000032|598.00000076|596.16729884|597.35683889|3225.35249480
				1521193800|599.00000000|596.00000000|596.16729884|598.83427342|598.72790847|4946.69746389
				1521193500|600.00000031|597.44249006|598.83427368|600.00000031|599.10910539|15573.44605231
				1521193200|604.57649281|600.00000018|600.00000018|604.57649281|603.92438165|1415.59875060
				1521192900|605.57579740|605.57579740|605.57579740|605.57579740|605.57579740|0.00000000
				1521192600|605.57579740|601.50000393|605.57579740|601.50000393|601.50530076|15429.64425439
				1521192300|606.34606492|603.93754885|606.34606492|603.93754885|606.24575200|39608.29318350
				1521192000|601.29950051|597.00000316|601.29950051|599.99949630|600.40407589|18726.45910226
				1521191700|599.99949758|597.00000165|597.00000272|597.00000165|597.10914390|254.35568731
				1521191400|599.99950000|595.83198065|597.00000058|595.83198065|597.45481172|5921.47778357
				1521191100|602.55789783|595.83198065|595.83198065|600.00000000|596.38179007|4442.36085863
				1521190800|606.44962700|600.00000000|600.00000000|606.44962700|604.38040334|14526.27470228
				1521190500|606.15522362|605.15522362|605.15522362|606.15522362|606.15047825|12773.53025833
				1521190200|607.99999961|607.99999961|607.99999961|607.99999961|607.99999961|0.00000000
				1521189900|607.99999961|605.15522362|607.99999961|605.15522362|605.19436393|15395.24729078
				1521189600|605.15522359|605.15522359|605.15522359|605.15522359|605.15522359|0.00000000
				1521189300|608.09728872|605.15522357|605.15522359|608.09728872|605.16015835|9675.24659522
				1521189000|609.30277322|605.76037883|609.30277322|607.05610905|606.69790092|16036.44285278
				1521188700|609.48512967|607.05610901|607.05610904|609.48512965|607.11889778|1685.22431104
				1521188400|609.48512818|607.05611480|609.48512818|607.05611480|609.26168291|336.32975809
				1521188100|611.91414421|607.05610965|611.91414421|607.05610965|610.95400050|3173.44019853
