situation elements:2
	8|Gen|1447
	31|Date|2017-11-07 23:51:27.371000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:299.99999771
			high24hr:304.71431118
			highestbid:298.56277031
			percentchange:-0.00990099
			low24hr:295.00000001
			lowestask:299.99999770
			candle300|288
				1510059000|299.99999805|298.56277026|299.99999771|299.32656781|299.84972745|3696.97751452
				1510058700|300.10764599|299.32656781|299.32656781|299.66209520|299.69954586|14915.46900249
				1510058400|300.27580053|298.56277010|299.83000000|299.09000000|299.68980222|61244.04176575
				1510058100|299.83199906|298.28300000|299.00000000|299.83199905|298.73539227|10590.25317672
				1510057800|301.00000000|298.77339479|298.77339479|300.83143934|300.39525042|72477.75029564
				1510057500|300.99999999|300.00070039|300.83143934|300.99999963|300.65470783|34712.62294609
				1510057200|302.29123437|300.00070017|300.00070017|302.06140671|301.14305955|10071.65322970
				1510056900|302.49000000|301.98209939|302.06140671|302.48999816|302.41560960|23701.78070455
				1510056600|302.49999933|301.43854753|302.48999823|301.60000000|302.24292702|9621.74585949
				1510056300|302.89999999|301.43854706|301.43854753|302.50000000|301.95826031|25750.79296120
				1510056000|302.95099997|302.33210681|302.50000002|302.81000000|302.54758624|22370.98030519
				1510055700|302.95234200|302.50150772|302.95099997|302.79999999|302.81330243|14433.56963111
				1510055400|302.95234200|302.10000001|302.50150772|302.49999999|302.70176227|83320.38877578
				1510055100|302.50000000|301.84000003|302.49999999|302.28320000|302.22482599|12600.06283647
				1510054800|302.28320000|301.53601456|302.13812446|301.87714143|301.96301450|22004.44097934
				1510054500|301.87714139|301.00000000|301.87714139|301.79999999|301.62679964|15131.69514386
				1510054200|301.80000000|299.55550003|301.61250435|299.55550003|301.27552606|35647.39379447
				1510053900|300.50000000|299.10001052|299.34264115|299.10001052|299.61140001|66070.12901445
				1510053600|300.00002740|299.10000009|299.10000330|299.96999817|299.88589865|15641.56453621
				1510053300|299.96999964|299.30000003|299.30000003|299.96999964|299.45182364|10538.84781574
				1510053000|299.97000000|299.50000083|299.96999912|299.96999994|299.96815524|5112.93198177
				1510052700|299.99999870|299.40000266|299.50000080|299.99999870|299.45758759|3891.16374875
				1510052400|300.00000000|299.40000000|299.99999882|299.99999997|299.45556407|60717.70534468
				1510052100|300.11000000|299.56789126|300.00000000|300.11000000|299.80621924|3223.03872211
				1510051800|300.49999997|299.23000011|300.49999997|300.00000701|300.12031495|7877.26096785
				1510051500|299.48010000|299.22900000|299.22900037|299.48010000|299.43960731|9047.97133757
				1510051200|299.98114748|299.40000000|299.47010000|299.56980000|299.54933479|7411.69325007
				1510050900|299.92000000|299.55977807|299.55977807|299.91000092|299.82938976|33834.30500122
				1510050600|300.99999998|299.61100017|299.91000007|300.00000000|300.70670012|54723.74118760
				1510050300|300.00000000|299.55977807|300.00000000|299.99999666|299.95848843|7032.19396051
				1510050000|299.55977807|299.22900009|299.55977807|299.22900009|299.39089936|290.95947979
				1510049700|299.55977807|298.84001699|299.55977807|299.55977807|299.34056835|1968.68392208
				1510049400|299.55977807|298.65977930|299.54980000|299.55977771|299.02819440|15073.79211924
				1510049100|299.55977807|298.65977717|299.14219558|299.55977762|299.34763522|7403.79518833
				1510048800|299.55977788|298.65977628|299.55977788|299.02800000|298.75242949|3454.64987421
				1510048500|299.03320000|298.28292780|298.28292931|299.02324504|298.87916086|7108.84112513
				1510048200|299.99999899|299.02324504|299.02324504|299.99999899|299.18145291|13515.26322663
				1510047900|299.99999981|299.18603672|299.18603936|299.99999981|299.68972579|5256.29923005
				1510047600|299.99999990|299.18603514|299.72980001|299.18603514|299.49460855|2862.57955857
				1510047300|299.64042033|298.28292782|298.73165001|298.39997264|298.76502842|14101.11192496
				1510047000|299.10100105|298.39997261|298.39997264|299.10100105|298.66352591|11169.95417119
				1510046700|299.10001695|299.10001695|299.10001695|299.10001695|299.10001695|100.36134170
				1510046400|300.00001070|299.10001293|300.00001070|299.10001293|299.10683813|1972.11627159
				1510046100|300.00001070|299.10000765|299.10001175|300.00001038|299.80677056|4431.11480779
				1510045800|300.00001053|299.54100000|300.00001045|299.54100000|299.79423519|1208.49820011
				1510045500|300.49999929|299.10000157|299.54099999|300.49999929|299.52816419|13180.72844874
				1510045200|300.00000003|300.00000000|300.00000000|300.00000002|300.00000000|10807.03620000
				1510044900|300.00000003|300.00000000|300.00000003|300.00000000|300.00000000|457.44654600
				1510044600|300.79999995|300.00000000|300.50000000|300.79999995|300.24802768|12496.77150995
				1510044300|300.85099890|299.50000010|300.30000000|299.89031300|300.07378403|14116.39180231
				1510044000|299.89031300|299.00000011|299.89031300|299.09998770|299.40181091|8942.13332949
				1510043700|299.49999988|299.00000010|299.00000010|299.20000000|299.03536382|5423.01312901
				1510043400|299.20000000|298.50000874|299.00000011|298.50000874|298.72162719|850.88284110
