situation elements:2
	8|Gen|6458
	31|Date|2018-02-26 18:55:46.028000
		instrument count:3
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:844.28051304
			high24hr:857.00000000
			highestbid:840.66340852
			percentchange:0.00448653
			low24hr:816.17200000
			lowestask:844.28051278
			candle300|288
				1519631700|844.28051304|840.66340865|840.66340865|842.17248391|843.18822796|1060.63762691
				1519631400|842.17248393|839.45969301|842.17248393|839.45969301|840.59240979|551.22457542
				1519631100|839.45969300|839.43221515|839.43221515|839.45969300|839.43659255|109.83556050
				1519630800|838.96340478|838.96340478|838.96340478|838.96340478|838.96340478|76.32772440
				1519630500|840.66340498|837.99999829|838.96340478|840.66340496|839.80749998|784.99623737
				1519630200|840.66340543|835.23253498|840.66340543|837.99999829|838.70762659|1805.41502020
				1519629900|838.00000000|835.23253380|837.99999834|838.00000000|837.37317023|7818.63845972
				1519629600|838.44194264|836.10000000|838.44194264|836.10000000|837.98362784|175128.61667310
				1519629300|838.69894480|836.89514203|836.89514203|838.69894480|837.84212111|1552.53954782
				1519629000|838.69894437|837.99999997|838.69894437|838.69894420|838.01813817|11371.74356784
				1519628700|837.72586915|836.08458085|836.08458085|837.00000264|836.65311101|3389.05322091
				1519628400|835.00000000|833.60000000|835.00000000|833.89677200|834.11482835|13552.70064216
				1519628100|837.64210517|833.53262670|833.53262670|835.60000000|834.66040609|5400.76954066
				1519627800|837.64210624|837.64210624|837.64210624|837.64210624|837.64210624|0.00000000
				1519627500|837.64210624|835.00000001|837.64210624|837.48439066|835.95729454|23238.81211671
				1519627200|843.99999827|838.00000000|838.00000000|843.99999827|839.46853002|8622.63359435
				1519626900|843.99999993|840.88000000|843.99999966|843.99999968|841.36700482|7518.37915900
				1519626600|843.99999990|843.20000000|843.99999990|843.20000000|843.34833751|24287.12531003
				1519626300|845.00000000|843.20000000|843.20000000|845.00000000|843.20911305|788.39964376
				1519626000|845.00000000|843.20000001|845.00000000|845.00000000|843.84508589|2992.89535639
				1519625700|845.00000000|843.20000001|844.99999999|845.00000000|844.76389147|16726.39088361
				1519625400|854.08443833|844.05000400|845.00000000|844.05000400|850.05720802|86988.49423474
				1519625100|849.23996430|849.00000000|849.23996430|849.00000000|849.23561881|468.96111432
				1519624800|850.92251248|847.00000284|847.00000327|847.00000284|850.17611396|51683.59080259
				1519624500|850.92251361|846.99999997|850.92251361|847.00000000|847.27453845|16732.03619985
				1519624200|847.00000000|846.99999394|847.00000000|846.99999394|846.99999751|8824.18546655
				1519623900|846.99999572|846.99999401|846.99999401|846.99999572|846.99999481|7906.97043995
				1519623600|843.00000011|843.00000011|843.00000011|843.00000011|843.00000011|2534.48229066
				1519623300|849.22747248|843.00000000|843.00000005|843.48000003|843.23025630|17727.01840685
				1519623000|851.79727282|845.00000315|845.00000315|845.50120201|845.71040567|4103.33512239
				1519622700|849.90001376|845.00000315|845.00000315|849.90001376|846.81639390|300.23172388
				1519622400|849.90001376|849.90001376|849.90001376|849.90001376|849.90001376|114.10477967
				1519622100|850.90001392|849.90001376|849.90001376|850.90001376|850.74689082|12037.30031469
				1519621800|850.90001384|850.90001384|850.90001384|850.90001384|850.90001384|5291.07580043
				1519621500|850.90001376|850.00000000|850.90001376|850.00000000|850.86903765|9.83543344
				1519621200|850.00000000|850.00000000|850.00000000|850.00000000|850.00000000|645.66470050
				1519620900|850.90001385|849.00000118|850.00000000|850.90001297|850.13925758|11483.69930145
				1519620600|851.99999933|848.99999999|850.90001295|851.99999933|850.11988742|15439.80349451
				1519620300|854.33244640|850.00000015|850.00000015|851.80236791|853.07465874|14544.82876075
				1519620000|851.80236800|850.00000005|851.80236799|850.00000005|850.55178799|1083.37749662
				1519619700|850.00000010|850.00000008|850.00000008|850.00000009|850.00000008|324.68713103
				1519619400|850.00000013|847.90000133|847.90000133|847.90025634|849.92162374|9908.72907152
				1519619100|849.99999993|849.00000000|849.00000000|849.99999991|849.20038423|157.71746112
				1519618800|850.00000000|846.89999994|849.00000000|846.89999994|848.87663701|8583.20482980
				1519618500|846.90000000|845.00000341|846.90000000|845.00000341|846.77935392|2515.46741545
				1519618200|850.00000000|845.00000027|845.00000133|847.39345457|848.38632956|48688.90003083
				1519617900|847.39345888|843.00000000|845.00000000|847.39345888|844.35452582|5029.42146787
