situation elements:2
	8|Gen|6640
	31|Date|2018-03-02 13:56:11.623000
		instrument count:3
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:872.13000000
			high24hr:881.00000000
			highestbid:872.13000000
			percentchange:0.02122950
			low24hr:853.00001002
			lowestask:874.49998948
			candle300|287
				1519959000|873.99999887|872.13000000|872.13000000|873.99999887|873.17906680|3000.60572142
				1519958700|874.60000000|873.99999887|873.99999887|874.60000000|874.16814549|395.88805094
				1519958400|875.00000000|873.99999887|874.60000000|873.99999887|874.01167818|6383.04072112
				1519958100|876.09999702|873.99999887|875.00000000|876.09999702|874.87952071|6313.74146238
				1519957800|876.20333932|876.20333932|876.20333932|876.20333932|876.20333932|1.85097955
				1519957500|876.20334061|873.99999887|873.99999887|874.00000006|874.06025565|13680.88897248
				1519957200|874.99999991|874.00000000|874.00000003|874.00000003|874.02899981|4857.27279077
				1519956900|874.99999890|873.99999890|874.99999890|874.85643819|874.37515302|6796.61403590
				1519956600|873.99999896|873.99999887|873.99999896|873.99999887|873.99999887|2152.77390418
				1519956300|874.99999890|874.99999888|874.99999888|874.99999890|874.99999888|4920.78905750
				1519956000|874.99999919|872.85643260|874.99999919|872.85643260|872.85902031|723.04508551
				1519955700|876.20334063|872.85643057|874.99999962|874.99999991|874.49293655|9581.43835156
				1519955400|875.00000000|874.99999990|874.99999990|874.99999990|874.99999997|423.02098998
				1519955100|875.00000000|872.00001140|874.99999991|874.99999991|874.76246142|825.51511936
				1519954800|875.00000000|872.00000541|875.00000000|872.00000541|872.80966450|1732.17107769
				1519954500|875.00000000|874.81250011|874.99414062|874.99999999|874.98865178|356.79920622
				1519954200|876.20333898|871.86809490|871.86809490|876.20333898|874.99178265|6452.24019856
				1519953900|876.20333920|870.28052088|876.20333920|870.28052088|874.27654246|3538.69505909
				1519953600|870.28052088|869.00000034|870.28052088|870.28052087|870.18865764|6410.02023787
				1519953300|870.28052086|869.99999998|870.28052086|869.99999998|870.00132306|3178.51382447
				1519953000|873.13078156|867.50645699|867.50645793|869.06452078|870.29343539|31261.79992761
				1519952700|869.06452078|868.17492962|869.06452078|868.17492962|869.04602877|33047.09451168
				1519952400|869.06452078|867.50645927|869.06452078|868.73400100|868.27648153|4467.63438388
				1519952100|869.06452078|868.73400099|868.73400100|868.73400099|869.03161015|2183.42962372
				1519951800|868.73400099|868.50000000|868.73400098|868.73400099|868.64918215|1334.56942790
				1519951500|868.73400099|868.49999994|868.73400099|868.49999994|868.70778734|3093.82884023
				1519951200|868.55974840|867.00000000|868.50000000|868.55974839|867.08360022|391.02946290
				1519950900|868.55974892|865.90000002|868.55974892|866.00000000|867.21134597|23132.02093845
				1519950600|874.03353327|866.00000000|866.00000000|874.03353327|868.61651194|12940.37167154
				1519950300|874.06139701|874.03353329|874.03353396|874.03817711|874.03469013|16803.15113978
				1519950000|874.03817710|874.03817709|874.03817710|874.03817709|874.03817709|422.82360726
				1519949700|874.03817717|873.74232167|874.03817706|873.74232167|873.80129111|679.32375918
