situation elements:2
	8|Gen|6750
	31|Date|2018-03-04 00:32:45.850000
		instrument count:3
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:868.49999992
			high24hr:869.27213828
			highestbid:868.00000000
			percentchange:0.00852994
			low24hr:848.50000001
			lowestask:868.49999992
			candle300|288
				1520083800|868.50000000|868.49999991|868.49999992|868.49999991|868.49999991|87384.01779949
				1520083500|868.49999991|867.99999998|868.49999991|867.99999998|868.08720976|2704.92052544
				1520083200|867.00000001|867.00000000|867.00000000|867.00000001|867.00000000|2952.76360101
				1520082900|867.00000001|867.00000001|867.00000001|867.00000001|867.00000001|26.89470414
				1520082600|867.00000000|867.00000000|867.00000000|867.00000000|867.00000000|350.16517380
				1520082300|868.49999991|867.00000000|867.00000000|868.49999991|868.49363370|267.93724263
				1520082000|868.50000000|868.49999991|868.49999991|868.49999995|868.49999999|2618.34861504
				1520081700|868.50000000|868.00000000|868.00000000|868.00000000|868.26313395|50010.38232015
				1520081400|868.00000000|866.01001034|867.99999999|868.00000000|867.97281709|6288.22095622
				1520081100|868.00000000|867.95030000|868.00000000|867.99999999|867.98268082|2490.80876547
				1520080800|867.99969999|866.90750002|867.99969999|867.99969999|867.87917488|509.87438944
				1520080500|866.90750010|866.90750010|866.90750010|866.90750010|866.90750010|7.85412126
				1520080200|867.97809999|866.00000000|867.97809999|866.00000000|866.88634223|3791.05518076
				1520079900|866.00000000|864.55076000|866.00000000|866.00000000|865.91548862|1374.71355777
				1520079600|866.00000000|864.99000000|866.00000000|864.99000000|865.69498695|589.02680754
				1520079300|864.30610268|864.30610247|864.30610268|864.30610247|864.30610257|31.74596314
				1520079000|864.30610201|864.30610167|864.30610201|864.30610167|864.30610197|157.36395269
				1520078700|866.00000000|863.89030217|865.99999991|863.89030217|864.58390303|2318.65916367
				1520078400|866.00000000|863.86160057|866.00000000|863.86160057|865.59210557|2963.28220994
				1520078100|865.00999995|863.79920093|863.79920178|865.00000000|864.86586311|6083.09446772
				1520077800|865.99999997|864.99999995|865.88978476|865.00000000|865.60669315|5537.37170250
				1520077500|865.88978491|864.99999995|865.88978491|864.99999995|865.00938954|1790.59664091
				1520077200|864.99999995|863.52860007|864.99999995|864.99999991|864.59863626|50.93262377
				1520076900|865.00000000|864.99999990|864.99999990|865.00000000|864.99999994|2627.44756844
				1520076600|865.38977175|865.00000000|865.00000003|865.06999508|865.01256680|10112.57842791
				1520076300|865.06999508|865.06999505|865.06999508|865.06999505|865.06999507|138.76066153
				1520076000|865.06999504|865.00000000|865.06999504|865.00000000|865.00772083|847.51183247
				1520075700|865.00000000|864.99999990|864.99999999|864.99999991|864.99999999|9237.49257702
				1520075400|864.99999998|864.99999990|864.99999990|864.99999990|864.99999991|568.31946274
				1520075100|864.99999999|864.99279996|864.99999999|864.99279996|864.99979369|1466.19844646
				1520074800|864.99279995|862.55540003|864.84619998|864.84619998|864.28275384|3776.37206095
				1520074500|864.99999991|862.82140136|864.99999991|864.99999990|864.75963166|1451.27244878
				1520074200|864.99999991|864.99999989|864.99999991|864.99999989|864.99999990|353.48675661
				1520073900|864.99999998|864.00000000|864.99999990|864.98000000|864.93556647|1599.07034372
				1520073600|864.98610000|864.69400726|864.98000000|864.69400726|864.93663138|5084.49403215
				1520073300|864.99999999|862.66810117|862.66810117|864.68711438|864.99880378|31237.89063885
				1520073000|864.70090033|861.67580007|864.70090033|861.67580007|863.64812540|1268.50727133
				1520072700|863.23000000|861.05440017|861.47780000|863.22899947|863.20123653|11063.78148110
				1520072400|863.54809981|860.94080000|860.94080000|863.54809981|861.47765507|6274.60917383
				1520072100|863.54809993|862.00000108|863.54809983|863.54809992|863.19034248|988.26991186
				1520071800|863.54810000|862.79766090|862.79766090|863.00000000|863.00278503|1737.30095613
