situation elements:2
	8|Gen|4471
	31|Date|2018-01-18 22:17:09.513000
		instrument count:3
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:1023.00978117
			high24hr:1075.00000000
			highestbid:1019.45990626
			percentchange:0.12185643
			low24hr:765.10000000
			lowestask:1021.35682865
			candle300|288
				1516274100|1024.99999989|1014.11962419|1021.09847554|1019.77999994|1018.96811285|83882.65773857
				1516273800|1029.11920999|1018.99000000|1019.55421600|1027.78758765|1019.39400840|205813.22306972
				1516273500|1027.78758769|1015.69200000|1026.19033600|1024.00000000|1018.90191257|1713090.65288010
				1516273200|1024.00000000|1000.54559377|1012.00000025|1001.00000001|1012.46462479|81369.02157208
				1516272900|1002.47997160|993.87297984|1000.54559376|993.87425367|996.16230530|59813.62609127
				1516272600|993.87425367|988.90488448|993.87425367|993.87425367|993.66829872|768294.36004173
				1516272300|993.87425367|988.00000000|993.87425367|993.87424999|993.80653585|250740.46570084
				1516272000|993.87425367|988.93150012|993.87425367|993.87300000|993.86576599|19229.70778513
				1516271700|993.70000000|982.98363090|991.00000000|988.00000000|988.42753266|33254.34360528
				1516271400|992.99877616|981.25746502|988.00000000|988.48223157|988.75867666|78229.98854570
				1516271100|997.64999999|988.48223160|988.48223160|993.87423370|992.13282737|36446.86175575
				1516270800|1001.48342300|993.87420350|993.87420350|1001.48342284|997.44857291|5493.68403160
				1516270500|1001.75636721|995.00000005|1001.48342284|999.22699940|999.44889224|8295.11133900
				1516270200|1001.75636717|997.49419940|997.49419940|999.55668522|998.96880016|23433.29953129
				1516269900|999.55668521|986.46614201|999.55668521|986.87000000|987.11143146|374067.06873380
				1516269600|998.00000000|986.87000000|986.87000000|998.00000000|989.76211711|260515.80691699
				1516269300|1004.00000000|995.00000000|995.50499995|1003.16578603|998.85017015|53956.26412883
				1516269000|1012.09339129|984.90647146|1004.00000000|1010.09339131|1000.45800857|182129.11258653
				1516268700|1012.83540297|1004.95000001|1010.09339131|1008.97098879|1009.76481257|98023.13371581
				1516268400|1008.97098875|999.92718040|1008.00000000|1004.95194002|1005.31901889|134516.24785053
				1516268100|1009.00000000|993.75749381|1004.95194002|994.75125003|1003.96077925|63114.23549898
				1516267800|999.20013750|993.00009407|994.75125003|996.99999999|997.54022106|39442.65053235
				1516267500|997.99004430|980.47446573|997.00000000|991.18564076|993.58644664|51108.58003146
				1516267200|1001.92154148|990.00000000|991.18564076|1000.27564082|995.35833592|33557.42072795
				1516266900|1004.84838929|990.64560013|1002.18371493|996.85307919|998.18850444|27532.35221458
				1516266600|1000.67170675|990.00000000|997.01742529|993.63021741|994.78198734|167918.62225187
				1516266300|993.63021742|973.78170675|993.07278280|974.42255297|988.30805427|80083.58365061
				1516266000|974.44495732|967.00000004|974.44495732|969.80000000|970.69587690|16557.98354753
				1516265700|973.84699009|965.66170677|969.82170660|969.91995400|970.22680698|38415.14830078
				1516265400|972.12216401|960.35345594|969.01060000|968.46663804|969.13231908|93024.15620604
				1516265100|973.66904289|968.00000000|968.00000000|973.66904288|971.73797538|2952.87198914
				1516264800|973.66904289|967.10000000|973.66904288|967.45887380|969.07498676|13599.17497998
				1516264500|973.51033246|964.00000000|967.62048671|964.28646195|967.72595431|42128.98940774
				1516264200|971.87540428|963.76471217|967.88016546|964.00000000|967.80433265|35380.17801162
