situation elements:2
	8|Gen|7101
	31|Date|2018-03-10 19:55:43.070000
		instrument count:3
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:731.16700002
			high24hr:745.10000014
			highestbid:731.16700008
			percentchange:0.08679125
			low24hr:650.00000014
			lowestask:732.61620000
			candle300|288
				1520672100|732.03050000|730.31000001|730.31000001|732.03050000|731.16829033|3491.85953153
				1520671800|732.57540000|731.16880022|731.19490002|731.51680002|731.62289008|1853.84948133
				1520671500|733.05350000|731.16440000|733.05350000|731.16440000|732.65903426|898.10321787
				1520671200|733.81189996|732.40000000|733.81189996|733.39999996|733.43184972|4426.22613304
				1520670900|733.39999994|732.20000000|732.20000000|732.92039998|732.64293554|948.93357050
				1520670600|734.52355780|731.00000037|731.00000086|734.52355780|734.03531184|3909.08209261
				1520670300|734.52356314|730.30000137|730.30000137|734.52356314|734.00079966|837.68351391
				1520670000|731.00000003|728.11000269|730.33699289|731.00000003|729.95060431|4119.61683123
				1520669700|733.40299982|730.33699289|730.33699289|733.40299982|732.31066382|5276.53301649
				1520669400|733.00000000|732.01000013|733.00000000|732.20000002|732.29850847|3256.55277707
				1520669100|734.96884002|728.11000127|734.96884002|728.11000127|734.54961136|8368.65327164
				1520668800|733.45039456|728.07000134|731.99999980|732.68539428|731.03635228|10834.54073351
				1520668500|737.35180799|733.46312900|733.46312900|737.35180799|733.61027221|19321.22732252
				1520668200|733.46312900|728.07000106|733.46312900|731.49999819|732.10619557|11782.41541477
				1520667900|731.49999962|728.06084109|731.49999842|730.00000000|730.67196031|4127.54852116
				1520667600|731.99999892|727.33350576|728.06083934|731.99999892|729.41082289|608.01363023
				1520667300|731.99999967|731.99999940|731.99999940|731.99999967|731.99999963|5709.59999715
				1520667000|733.20000464|728.54730906|730.89670000|733.20000464|730.93059213|10734.93023788
				1520666700|736.99999972|733.20000464|733.20000464|736.99999972|733.37689836|8192.05697484
				1520666400|736.99999978|734.00000185|736.99999975|734.00000185|736.30081025|3159.23057151
				1520666100|735.00000000|733.20000785|733.20000789|735.00000000|734.63593746|984.94028597
				1520665800|737.99999733|733.20000246|737.99999557|737.99999717|737.45847408|588.30800654
				1520665500|738.00000002|733.20000092|733.20000092|738.00000002|736.35905893|8377.53330269
				1520665200|739.99999836|737.09009998|738.00000002|737.19157586|738.32717902|9348.71583313
				1520664900|740.76386830|737.19157838|739.99999910|738.00000112|739.47621350|6151.93791405
				1520664600|740.76386903|738.00000025|738.00000102|739.99999986|740.57084578|33196.37570371
				1520664300|740.00000000|737.19157582|739.99999986|737.19157582|739.86089252|30691.61137560
				1520664000|740.00000000|737.19157518|737.19157525|739.00000000|739.03079104|3132.05895532
				1520663700|740.50000000|738.00000047|738.00000047|740.49999995|740.47802777|1909.07639308
				1520663400|742.96850115|737.19157393|737.19157393|741.39496274|741.09788477|10444.77754617
				1520663100|741.49999998|741.39496274|741.39496274|741.40019904|741.40070437|26006.84563416
				1520662800|741.40020088|740.50000000|741.40019940|740.50000000|741.05655270|11653.96329006
				1520662500|742.99999996|740.44072510|740.50000000|742.99999996|742.57016561|8168.23880706
				1520662200|743.48681986|740.44072224|743.48681986|741.44072129|741.25687508|6297.47063081
				1520661900|742.33962005|738.13074839|740.44072109|738.13074839|740.24905280|21029.36514251
				1520661600|738.13074840|734.24299992|738.13074840|734.24299992|736.05433130|4433.55436990
				1520661300|734.24299992|731.43630083|734.21039998|732.00000000|733.43941960|7472.91576739
				1520661000|731.36790000|731.32300020|731.36790000|731.32300020|731.32594115|994.45979382
				1520660700|731.40609992|729.64360021|730.78170000|729.64360021|730.86015971|781.71136322
				1520660400|732.44539998|728.83620003|728.83620003|732.44539998|729.92884820|10646.11709074
				1520660100|733.48749988|732.44539998|732.44539998|733.48749988|733.47998574|1685.94334781
				1520659800|731.28055000|728.17930296|730.00000002|729.00000000|730.16756179|747.49703743
				1520659500|729.52229989|727.10000000|729.52229967|727.10000000|728.87482752|1766.43113289
				1520659200|728.12779931|725.05564800|726.08240000|728.00000000|726.80644888|11690.81381291
				1520658900|730.00000000|726.08202481|728.12779964|730.00000000|728.85650832|907.81278529
				1520658600|733.82900000|729.36200023|729.36200023|731.10000000|731.76927432|3717.04903853
				1520658300|733.95300000|731.54250003|733.95300000|731.54250003|732.61443796|832.47933182
				1520658000|733.02530000|731.10580005|732.50000000|732.60940000|732.49735248|13182.25285018
				1520657700|733.88879977|732.50490000|732.50490000|733.88879977|732.96616853|2632.82887282
				1520657400|734.92929991|732.10149959|734.92929890|733.18830000|734.63840877|6434.70120182
				1520657100|735.53700000|733.02920001|733.10390000|735.45680002|734.08510917|13959.86835280
				1520656800|738.13074840|736.15830002|736.15830002|737.27975983|738.04503970|552.74646285
				1520656500|737.44049995|734.97339976|736.15830002|735.40000320|736.81121643|5465.52652300
				1520656200|735.40000320|734.11490000|735.40000320|734.97339976|734.98534210|7199.68302399
				1520655900|735.40000320|733.00000000|734.07339976|733.52749999|734.11289998|8988.43958622
				1520655600|733.83410000|728.17930298|733.00000000|728.17930298|731.99827239|8667.53498188
				1520655300|728.51569997|728.17930296|728.17930296|728.51569997|728.22110367|1358.51292669
				1520655000|729.89259995|727.91120010|728.51569998|729.64209980|729.55407247|2566.83507019
				1520654700|727.53489998|724.98000000|727.53489998|724.98000000|725.12810421|456.88555434
				1520654400|730.87220000|727.41850001|728.22409998|730.59279995|728.39880487|14534.80582119
				1520654100|730.91029985|729.84159980|730.00000000|729.84159980|730.16050621|14948.40953783
				1520653800|730.00000000|727.35500001|730.00000000|728.31093649|727.88027289|10248.75617823
				1520653500|726.85509987|724.05680000|726.40370000|725.12420002|724.85544905|2391.06076527
				1520653200|728.80309998|725.00000000|725.00000000|727.49049995|726.43614939|10360.91151268
				1520652900|727.68939981|722.64195804|726.22750000|722.64195804|726.13847336|4920.33630479
				1520652600|723.70329998|720.83690000|723.70329998|722.00000000|721.38851843|11735.36566125
				1520652300|723.51399994|722.00000000|722.00000000|722.17770005|722.05262370|8630.54742359
				1520652000|725.99999998|722.17290001|722.17290001|724.75170003|723.49662144|34140.94013379
				1520651700|725.76789975|722.44880000|724.75170005|725.15019995|725.05789517|8531.51573627
				1520651400|730.33264376|722.13074726|724.72119998|730.33264376|723.24174917|43236.60161878
				1520651100|735.75069735|725.98688092|725.98688092|733.91590947|732.15916762|20874.03904182
				1520650800|735.75069872|733.91591124|735.75069872|733.91591124|733.92001466|7614.14959984
				1520650500|733.23321269|733.23321269|733.23321269|733.23321269|733.23321269|0.00000000
