situation elements:2
	8|Gen|6727
	31|Date|2018-03-03 13:02:30.212000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:866.45259999
			high24hr:876.20334063
			highestbid:866.45259996
			percentchange:-0.00976845
			low24hr:848.50000001
			lowestask:867.74119985
			candle300|288
				1520042400|867.74119977|866.45259999|867.74119972|866.45259999|867.02560021|7306.90428485
				1520042100|867.70000000|865.76510043|866.34500004|865.76510043|866.84896180|5918.36717275
				1520041800|867.96299972|865.76510032|867.96299967|866.86030011|866.57764655|3254.57142000
				1520041500|868.00000000|866.78410004|867.99000000|867.69239700|867.48183048|7819.97931072
				1520041200|867.69239700|865.92430038|867.69239700|865.92430038|867.41278303|9145.98697410
				1520040900|867.50000000|865.89010006|865.89010006|867.50000000|867.08852333|2914.69028967
				1520040600|867.49999999|866.65136023|866.65136023|867.49999999|866.69738710|9366.59213533
				1520040300|867.50000000|866.00000067|867.50000000|866.00000080|866.93771363|1563.75780022
				1520040000|867.50000000|864.96194499|867.49999999|865.06999508|866.85517874|4726.72178629
				1520039700|865.00000000|864.04000000|865.00000000|864.34488750|864.87887097|859.13876504
				1520039400|864.15585494|861.83954000|864.15585494|861.83954000|863.98376480|8368.06227567
				1520039100|861.74208981|861.10000003|861.74208981|861.10000003|861.10350795|7781.27817617
				1520038800|861.00000000|859.20000000|861.00000000|859.20000000|859.20797053|41693.18308133
				1520038500|860.24350000|859.20000000|859.20000000|860.24350000|859.30360863|7072.62664492
				1520038200|860.19779999|859.20000000|859.20000000|859.90199967|859.91784351|18027.13704562
				1520037900|859.83389999|858.12560002|858.12560002|859.81250000|858.95561103|1778.48063158
				1520037600|859.83389994|857.67230001|859.83389994|857.67230001|859.59769831|2503.95207521
				1520037300|860.21470000|856.60860001|857.63320004|858.68639964|859.20663009|48492.77253324
				1520037000|858.68639972|856.87030087|856.87030087|858.68639741|856.91961516|10150.36984642
				1520036700|858.68639732|858.68639717|858.68639732|858.68639717|858.68639722|4784.42843013
				1520036400|858.68639835|858.68639835|858.68639835|858.68639835|858.68639835|25.76059195
				1520036100|856.62780423|856.62780423|856.62780423|856.62780423|856.62780423|2869.39974373
				1520035800|858.68639992|858.37639991|858.68639976|858.37639991|858.68414979|7648.67300078
				1520035500|858.37639990|855.48660009|858.37639990|856.83599999|857.48125215|4012.92068106
				1520035200|856.83599988|855.48660000|855.48660000|856.83599973|856.79167543|47328.99489803
				1520034900|857.16219999|855.00000000|856.80900000|857.16219999|855.17292882|9409.54476983
				1520034600|857.36609993|856.50000000|857.36609978|856.73549997|857.34061933|59349.12326865
				1520034300|856.73549996|856.53670000|856.73549996|856.53670000|856.58991438|1490.49607191
				1520034000|858.92937997|855.03469991|856.38150000|855.03469992|855.81662621|13862.44913484
				1520033700|855.23669915|853.36420005|853.36420005|855.23669915|853.42376100|876.44895485
				1520033400|856.42759918|853.69240350|853.69240350|856.42759918|854.12922267|2.67411631
				1520033100|858.17882627|854.75810000|854.75810000|858.17882627|857.72789016|33317.55786602
				1520032800|859.99500000|858.17882627|858.17882627|859.99500000|858.29456979|8913.32500125
				1520032500|859.99500027|859.99500000|859.99500024|859.99500000|859.99500023|6248.76058272
				1520032200|860.18999992|860.18999991|860.18999992|860.18999991|860.18999991|34.40759999
				1520031900|860.18999987|860.18999987|860.18999987|860.18999987|860.18999987|725.01372196
				1520031600|860.18999992|859.75832360|860.18999990|859.75832360|860.16412516|3605.30420594
				1520031300|859.88999996|858.17882628|859.88999991|858.17882628|859.47816917|1236.82864722
				1520031000|859.54000000|858.17882640|858.17882640|859.17882628|858.97726432|1301.42130941
				1520030700|859.54000000|858.17882627|858.25000009|858.17882627|858.98990572|1786.01002527
				1520030400|858.17882627|857.69239937|858.17882627|858.17882627|858.11785387|15.43047788
				1520030100|858.17700000|858.17700000|858.17700000|858.17700000|858.17700000|0.00000000
				1520029800|858.17700000|857.69239937|858.17700000|857.69239937|858.03264602|524.16767310
