situation elements:2
	8|Gen|2485
	31|Date|2017-12-10 17:51:09.726000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:436.00000000
			high24hr:487.04221410
			highestbid:435.24552381
			percentchange:-0.07450647
			low24hr:412.00880000
			lowestask:436.13922923
			candle300|288
				1512888600|436.00000000|434.99099989|436.00000000|434.99099991|435.75234080|7919.63258942
				1512888300|436.00000000|434.90004900|434.99099992|434.99200000|435.07134475|42601.93687427
				1512888000|436.00000000|434.90004904|435.99999973|435.83025104|435.33795627|29237.48744729
				1512887700|435.83025106|432.81385766|435.83025104|432.81385766|434.56611394|48070.59605473
				1512887400|434.92832591|432.81385766|432.99999997|434.00000000|433.61929749|25238.07625612
				1512887100|435.15299999|430.90000008|434.00000009|430.90000008|431.53583868|16174.73222213
				1512886800|431.37035860|428.40601520|430.99636515|431.37035860|429.44279014|23668.45730352
				1512886500|435.23800000|431.37035863|431.99999986|432.75531457|432.29456701|15995.37693739
				1512886200|434.99999973|432.75531445|432.75531454|434.01452101|433.75531829|55138.14568928
				1512885900|437.00000010|433.65628983|435.99999984|434.92996426|436.18443812|132491.95731764
				1512885600|434.92996426|431.00027013|434.92996426|432.23353072|433.06977478|12855.06628148
				1512885300|433.65608244|427.27911365|432.23353069|429.01001406|431.76236672|21776.17069933
				1512885000|429.99999999|427.27911199|429.01001405|428.74953779|429.00170949|7439.10265911
				1512884700|428.74953779|423.01006111|427.00000100|423.01006112|426.23861407|26977.81740828
				1512884400|424.10264622|420.01317798|424.10264622|420.01317798|421.88218320|55971.41127113
				1512884100|424.61359761|420.00000000|420.00000000|424.01006101|421.32319017|62829.94781868
				1512883800|427.83438439|423.96529157|424.61359883|423.96529157|424.79853464|21556.46790465
				1512883500|424.00000000|422.00000000|423.96529157|422.00000007|423.58792839|62005.38595097
				1512883200|426.92123528|420.87160179|424.99999943|426.00000000|422.78769910|34082.59084156
				1512882900|429.99999964|426.00000000|426.01000000|429.99999964|427.83844953|47824.58287969
				1512882600|430.00000000|425.00000000|427.00000000|427.18000003|427.59463547|27599.27853899
				1512882300|432.28540333|426.54801007|426.54801007|430.12983538|430.92198146|91428.84940980
				1512882000|433.11888001|428.65608473|430.12983514|432.98594348|432.55721117|99374.21496856
				1512881700|433.91214643|427.23464538|432.98594333|428.14854278|430.63143179|14868.03580993
				1512881400|431.58707184|426.65363219|426.65363270|430.30047348|429.70059170|101327.71411643
				1512881100|432.25798784|423.25571179|430.30047348|424.00000000|429.66737723|74922.65490750
				1512880800|424.00000000|418.74874381|424.00000000|418.74874423|420.84368474|140315.85947350
				1512880500|423.67896728|417.37433750|419.99999988|417.79171178|419.76941069|31995.07119406
				1512880200|425.00000000|412.00880000|425.00000000|414.99958481|418.68575584|258140.16113956
				1512879900|418.67957832|414.21341800|414.99958484|417.92028972|415.89018297|167447.40459667
				1512879600|421.61865244|416.40000180|417.92028975|421.50000000|417.95583257|67021.08030620
				1512879300|426.22740436|421.50000000|421.50000000|421.98847992|423.97823103|35155.01775393
				1512879000|428.36280831|422.03367020|422.83287862|422.93636153|425.48945327|77592.00874864
				1512878700|427.23216878|416.44037061|422.93636153|417.99999978|421.00582733|118910.51087186
				1512878400|420.25512091|416.88594759|417.99999978|417.48800010|418.21693866|115389.20000141
				1512878100|424.86937788|417.48800000|417.50000000|422.75560007|419.81778555|206894.60445200
				1512877800|426.59999992|421.11888001|422.57351562|421.11888001|424.27343198|111644.59590346
				1512877500|424.95127558|421.11888000|423.37375433|423.99009690|422.73916317|41269.02997287
				1512877200|427.22282912|421.12002000|423.37375458|425.09734240|424.01387827|125075.66600167
				1512876900|429.64918213|424.00000000|426.03999981|425.75034978|425.36244058|122688.16760100
				1512876600|430.92432770|424.99999936|425.75034978|430.92432767|427.72111152|126873.89446717
				1512876300|435.08912248|427.48511191|432.65494743|432.64272023|434.00708694|84759.33044710
				1512876000|432.64272023|428.10000044|432.64272023|429.64272023|430.50659938|29858.56872644
				1512875700|431.80172891|425.34818604|428.10000001|426.08859670|426.96135515|82128.96502828
				1512875400|435.08912248|425.59052131|426.08859670|435.08912248|427.65237737|162502.69151984
				1512875100|436.69894734|430.00000000|435.08912250|430.10000004|430.81536799|249730.79204316
				1512874800|438.20999995|430.10000000|430.10000004|438.20999995|432.37201792|67375.19980433
				1512874500|438.23188307|436.48295530|436.48295530|438.23188307|437.45853508|16433.00675200
				1512874200|441.00999973|438.23188307|438.23188307|439.39393868|440.66116658|6219.96558333
				1512873900|441.95332035|439.39393868|441.00999994|440.98000887|440.38364863|132246.43323445
				1512873600|445.78999982|440.08022000|440.97999976|445.78999982|441.66123071|43496.83671357
				1512873300|445.82999990|443.57000011|444.50087871|443.61320868|444.64491031|25179.39913571
				1512873000|443.57330694|440.00000004|443.57330694|440.90999994|441.74866993|51623.00115799
				1512872700|440.92494147|437.99000015|440.90999980|438.00000000|439.59247552|86104.52768342
				1512872400|443.88999990|437.99000012|438.00000000|443.85060380|438.98183836|127372.86716400
				1512872100|446.97380826|444.00000000|444.00999996|444.79017062|444.52441667|64466.64764132
				1512871800|446.97380826|442.00044260|444.78836583|442.00044260|444.55726556|74589.42343360
