situation elements:2
	8|Gen|5535
	31|Date|2018-02-10 02:17:18.704000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:848.83033036
			high24hr:862.00000000
			highestbid:848.83033067
			percentchange:0.03879819
			low24hr:778.66740711
			lowestask:851.93125154
			candle300|288
				1518168600|823.00000000|820.37750031|822.67207691|820.37750031|822.85427000|40716.48650845
				1518168300|824.49999992|820.07207636|820.37750031|824.49999992|822.37530533|23023.28248628
				1518168000|824.89999985|821.96450660|824.50000005|822.20446876|823.35629091|14199.66236054
				1518167700|822.00000000|816.74750663|822.00000000|818.47716245|820.62287951|25226.82788581
				1518167400|817.56862246|816.21624551|816.23908312|817.35862246|817.17682597|10511.28779527
				1518167100|819.65000000|814.85055223|819.65000000|814.85055223|815.86817503|46314.45950123
				1518166800|819.00000000|811.56115584|817.82055220|812.37352935|815.60281807|71326.48066117
				1518166500|817.40422147|806.61678404|814.07489747|806.61678404|814.00003143|81563.30121186
				1518166200|805.54489753|803.24489749|805.54489753|805.54489738|803.45575528|6724.36031641
				1518165900|806.61678344|803.50000000|803.52489751|803.50000000|803.71760838|13689.32407081
				1518165600|806.61678380|803.40489757|805.99999979|806.61678380|803.97583512|8268.51119176
				1518165300|810.50000000|805.05861316|805.05861316|805.20415286|808.92182357|71615.04825175
				1518165000|803.21374138|797.95415275|803.20415310|797.95415275|801.96882598|11309.04633125
				1518164700|799.00000000|796.69487023|797.45415278|797.25415278|798.39544785|2975.09346001
				1518164400|798.49433378|795.40915048|798.00000000|797.70915045|797.00952850|77773.24995811
				1518164100|801.99999844|795.40000000|796.04686088|800.00000000|797.83112073|134156.97298685
				1518163800|802.77853847|800.00000000|800.10000000|802.77853847|800.95079758|18385.54386418
				1518163500|805.36912430|802.43876067|804.56951346|805.36912422|803.19727179|5369.85329480
				1518163200|810.49999980|805.36912414|805.36912414|809.00000009|808.80409747|9434.38763909
				1518162900|810.50000000|808.37951414|809.00000006|810.00000000|810.37025860|8331.04240784
				1518162600|810.00000000|805.92951370|810.00000000|808.00000000|809.07729686|17325.80678972
