situation elements:2
	8|Gen|5311
	31|Date|2018-02-05 10:17:44.798000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:844.00000000
			high24hr:973.04241710
			highestbid:844.00000000
			percentchange:-0.11652032
			low24hr:781.00000000
			lowestask:844.44592839
			candle300|288
				1517746800|877.10112819|866.05763183|871.27906941|867.61569550|872.78084838|47776.09953744
				1517746500|869.05763180|865.29361169|868.87634114|868.38361155|867.46227836|55362.93640112
				1517746200|874.35609864|861.92384472|865.50000003|874.35609864|868.72375681|184682.60294790
				1517745900|882.67634353|868.47807125|875.15609845|870.77902967|872.70127933|100782.70581402
				1517745600|887.74231511|870.00000000|870.77902967|887.74231511|876.05568816|203359.04883451
				1517745300|892.14448857|887.88540241|887.88540241|892.14448857|889.82749420|73346.71441351
				1517745000|901.10000006|892.11690071|892.11690074|901.10000006|897.17435750|30752.08712066
				1517744700|906.62612710|901.20000000|905.13846911|906.62612710|903.60321685|5253.61301462
				1517744400|911.49763214|907.30000000|907.30000000|910.00000002|909.28798547|26391.39350147
				1517744100|913.80806264|908.56543515|910.00000002|911.45763212|911.87394520|54954.48141346
				1517743800|911.99999993|910.99999976|911.45763212|910.99999976|911.65142949|2529.79626901
				1517743500|910.99999981|908.00000042|910.99999981|908.56543515|908.54854378|51830.94523049
				1517743200|911.99999998|908.10000000|908.56543515|908.57000003|909.03457134|76060.52875766
				1517742900|913.13109043|908.56543509|909.99999999|913.13109041|911.55540787|30675.12690109
				1517742600|915.05763202|911.00000000|912.00000000|911.30000050|912.37498095|68871.07177121
				1517742300|911.30000050|897.59824392|911.00000001|900.45225620|904.22329627|64698.48913899
				1517742000|900.00000000|897.99999862|900.00000000|897.99999881|898.71557943|51596.70722409
				1517741700|897.99999882|893.00000000|897.99999881|894.99999992|894.21942314|44894.44160784
				1517741400|895.00000000|888.77060005|894.99999998|889.13837096|890.03367025|64999.95649787
				1517741100|898.32666116|888.85837097|890.99999995|898.32666116|892.49050735|19417.00655650
				1517740800|901.65912035|895.00000000|898.53028938|898.74028943|898.81696070|10959.00591633
				1517740500|903.51111749|895.00000005|895.31060537|902.00000000|900.01190853|195413.51096264
				1517740200|911.30000050|895.79849383|902.00000001|895.79849383|902.83604095|72094.16291143
				1517739900|895.80000000|893.44400003|895.12690719|894.39881652|893.94675302|17941.92502485
				1517739600|899.92612806|890.00000000|894.39881653|891.00000006|892.73463252|114872.79555852
				1517739300|901.72684067|890.00000000|890.00000000|901.03634204|897.07526442|67884.31843490
				1517739000|901.00000001|897.21473492|901.00000000|898.86842780|899.42899584|15445.15871852
				1517738700|900.34964370|894.20719123|900.34964361|896.11992067|897.48964021|28625.39569041
				1517738400|901.49746929|896.16777327|896.16777327|901.49746929|898.36252411|18330.19095438
				1517738100|902.39746882|897.21473470|899.55746951|900.96396330|900.26614509|77429.33989314
				1517737800|911.14057168|897.00000001|900.13940139|905.09847328|906.43002027|137240.26129153
				1517737500|908.98847312|896.11992068|905.09847332|902.79944029|900.94555447|283603.66924130
				1517737200|910.79589153|901.33989769|902.79944029|901.33989769|905.26519516|413024.42066857
				1517736900|905.00000000|900.00000001|900.06019660|904.18538302|901.30839064|406508.65560508
				1517736600|918.67496026|901.00000000|901.00000001|913.67475958|903.70970532|298209.64205982
				1517736300|920.00000032|910.08988100|913.67475938|920.00000032|913.86146522|58415.49281126
				1517736000|927.14355723|920.31374796|920.31374796|923.00000000|925.21037865|122632.15626601
				1517735700|923.00000000|920.53062362|923.00000000|923.00000000|922.70562087|98852.88111716
				1517735400|923.00000000|915.66181749|923.00000000|919.48803218|920.46557155|239329.05019425
				1517735100|921.00000000|914.90124772|921.00000000|920.61401302|916.49559322|655822.68994054
				1517734800|935.50999977|920.61401302|920.61401302|935.50999977|927.13742294|105037.09024504
				1517734500|935.64999978|931.07799002|935.50999987|934.88490672|933.43576926|97745.20087645
				1517734200|936.00000000|933.44514086|934.88490667|935.99999997|935.15491078|62284.95961750
				1517733900|939.20514043|931.66855871|936.00000000|936.85000000|934.38663267|132975.23120120
				1517733600|939.50442909|936.14514052|936.14514052|939.50442909|936.88496750|39469.85648923
				1517733300|940.32068512|936.83305144|936.83305144|940.32068512|937.66338410|33552.20405027
				1517733000|942.66356349|937.15527440|940.32017049|942.63073737|939.36353870|26918.53548071
				1517732700|942.66356379|941.27057330|941.61804679|941.47999998|941.63215280|54429.16385581
				1517732400|943.76535469|940.00000000|941.48000000|943.76535469|941.88921590|12541.89928450
				1517732100|949.48950458|942.85370958|942.85370958|949.48950458|944.39272660|2118.37853498
				1517731800|952.52804962|943.75042080|943.75042082|952.52804962|945.66937924|14148.75301882
				1517731500|953.74499932|953.74499932|953.74499932|953.74499932|953.74499932|0.00000000
				1517731200|956.40250856|948.99999938|953.74499932|951.00000012|951.30395117|17178.01497989
				1517730900|956.97239100|948.63844300|956.40250990|949.33850291|950.76753490|37510.73807842
				1517730600|949.33850311|946.75966536|949.33850311|948.43850326|947.72099400|20353.55666529
				1517730300|948.63844318|947.36835367|947.36835367|948.60892590|947.91012106|1028.34129962
				1517730000|952.73800928|948.84914795|949.63800956|951.68533601|950.29698864|20785.50243379
				1517729700|955.99999994|950.95922884|951.78533601|952.59161400|952.70111755|13709.40917131
				1517729400|959.99999997|952.59161400|952.59161400|959.99999997|955.05955924|28780.27628809
				1517729100|962.00000000|957.98730249|959.99999997|962.00000000|960.64787054|10999.94573439
				1517728800|963.45246422|960.00000010|960.00000010|962.65246431|963.17947759|1964.21836196
				1517728500|965.24999862|960.00000013|960.00000013|965.24999862|962.26574116|45721.57469260
				1517728200|965.24999935|960.99999991|965.24999935|963.99999935|961.68778729|9283.36177869
				1517727900|964.24361549|960.00000035|963.99999997|960.00000035|960.59571256|15390.15433439
				1517727600|965.25000000|960.00000019|960.25361717|962.88361545|963.75985872|58579.06732711
				1517727300|963.99999884|960.00000010|962.88361584|963.99999884|961.65769851|8665.20761997
				1517727000|964.00000000|961.00000001|961.00000003|963.99999945|963.36037956|1033.74478942
				1517726700|965.17361610|960.11361597|960.11361597|965.17361610|960.87669269|17170.18570779
				1517726400|965.17361613|963.00000003|965.00000000|965.17361601|964.70222762|3749.30391098
				1517726100|965.97361595|961.65059632|965.17361613|963.00000006|963.28867694|8035.83398044
