situation elements:2
	8|Gen|5205
	31|Date|2018-02-03 05:17:13.574000
		instrument count:3
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:913.09986455
			high24hr:1062.26734002
			highestbid:911.00000003
			percentchange:-0.13826933
			low24hr:776.99000004
			lowestask:913.09986452
			candle300|288
				1517595300|914.44986470|910.00000000|914.44986467|912.12123121|912.23891179|52443.54797511
				1517595000|918.99999899|912.12123121|912.12123121|918.00000000|916.90855042|15898.43642119
				1517594700|925.00000000|914.39967526|916.00000001|924.89999998|920.59340850|66665.95013773
				1517594400|924.99999998|908.99999996|922.29771632|911.99639493|911.15316809|113779.90960887
				1517594100|914.99999996|894.06577032|911.99639493|900.00010000|907.25751422|126471.60999634
				1517593800|910.00000000|900.00000000|900.00000000|908.87233212|904.39352731|218272.61238102
				1517593500|926.99177214|908.20674623|908.20674623|920.99999991|918.63051023|118313.69440787
				1517593200|932.60000000|920.00000000|920.00000000|932.57991456|926.07467280|46537.30114703
				1517592900|942.41524591|932.64953146|935.58141774|940.00000000|937.23559812|51491.36837086
				1517592600|939.99999999|918.04020000|939.99999999|921.00000000|924.77060476|109686.84701616
				1517592300|939.87368997|920.45020716|921.00000000|937.00000000|927.35759191|226024.13962700
				1517592000|949.39700403|937.00000000|937.00000000|949.39700403|940.47675972|167183.73970892
				1517591700|949.58135798|942.00000000|949.47700369|943.88389500|946.77459455|27143.89231273
				1517591400|945.11389407|936.41366255|943.88389500|944.00000000|941.85599250|123594.28869550
				1517591100|956.13019717|942.52931030|944.00000000|954.08936082|946.89073923|195143.98946958
				1517590800|970.00000000|950.00000001|954.08936082|965.97435030|958.48232971|168130.63129852
				1517590500|970.24759500|962.18132734|965.97435030|966.99999999|964.99061105|59772.01912426
				1517590200|970.00000001|963.27000000|969.99999988|963.27000000|967.95071517|130238.73925263
				1517589900|967.51209465|958.00000000|965.00000000|958.76980875|961.97703533|71519.54111872
				1517589600|959.80845327|949.62480962|959.80845327|950.62993379|955.87173701|27359.26748134
				1517589300|956.02679359|950.00000000|950.62993388|955.43679350|952.51133287|156166.88789307
				1517589000|957.25364580|945.30000021|955.43679356|949.99999974|955.06015757|84568.42440962
				1517588700|953.77165697|942.39808532|949.99999985|947.43121690|945.80597720|50456.45571093
				1517588400|953.77165696|941.30000000|941.30000000|953.77165696|947.29518428|82489.19031759
				1517588100|954.38243861|938.88625366|948.81468857|939.94625369|947.14417739|183271.05860902
				1517587800|959.94667451|936.47175000|937.20237332|959.94667451|947.28386097|221227.95093823
				1517587500|972.79999996|958.12000000|959.94660003|966.00000007|966.70304927|133051.79774328
				1517587200|985.00519137|964.12102258|966.00000006|967.00000000|976.30472217|255147.72389855
				1517586900|971.19000000|958.90784821|968.99701366|970.00000009|966.25342541|107352.21611364
				1517586600|970.00587334|952.85184339|970.00000009|969.98999994|965.73207231|302072.86129645
				1517586300|969.99000000|955.64541358|967.55683869|960.34541335|965.18009613|150350.25760379
				1517586000|964.50037202|944.37853223|962.57541339|949.18899997|956.60300409|158030.69832793
				1517585700|954.99999975|946.46225450|949.18899997|951.87790202|950.59076404|174108.07992440
				1517585400|951.87790202|934.59647589|951.87790202|938.28980860|943.06869849|153086.92410264
				1517585100|938.28980860|925.06822736|938.28980860|925.06822739|932.04824400|126570.40208182
				1517584800|925.77746471|917.63961180|925.06822739|921.70147807|922.64432410|23843.34248170
				1517584500|926.90869897|919.90021703|920.94199480|922.13038079|924.78040576|72084.79150240
				1517584200|923.86038079|914.50000000|920.94199479|916.29106353|919.17964086|117681.59119168
				1517583900|920.96109479|912.00000003|914.26106356|920.77615386|915.92834455|136182.61541246
				1517583600|930.86625662|918.34866639|921.46203929|922.83847802|924.46483969|151477.27706053
				1517583300|931.58999999|917.00149038|923.64847805|925.79155675|925.40030399|182622.96494185
				1517583000|940.00000003|922.00000003|923.44545125|922.00000003|933.28462127|258296.25118278
				1517582700|926.31610724|910.29556500|924.20000000|910.57124644|920.49791945|216661.09989492
				1517582400|916.53000000|890.00000000|910.29556500|916.53000000|901.75225407|453505.03562741
				1517582100|929.33563451|912.76115585|915.91500000|929.33563430|921.41950712|173551.74664488
				1517581800|940.90348639|918.00289253|926.34630912|918.00289253|930.29388426|368293.03737643
				1517581500|933.47790848|913.95691155|923.42289250|930.23077552|921.06190103|465453.46592894
				1517581200|960.81145046|930.81359010|930.81359010|956.25348589|948.92084431|248378.69178793
				1517580900|975.99999993|947.01000000|956.25348589|973.70000003|966.78750475|813205.60360903
				1517580600|980.00000000|964.79906527|975.99999991|976.30000600|971.85962799|491755.29608726
				1517580300|978.99999993|953.51789307|977.99999990|958.00000000|965.19874624|413798.96666243
				1517580000|981.00000000|950.00000000|953.51789307|970.00000000|962.78217262|539553.81387929
				1517579700|981.00000000|946.58000019|976.80000000|946.88250001|960.98454930|318169.84836620
				1517579400|950.00000000|930.20000000|946.88250000|932.20000000|942.79017955|316138.95737648
				1517579100|937.99999996|929.00000000|932.20000000|934.10000000|933.43595878|103828.43632500
				1517578800|949.99998995|930.02033300|934.00000007|935.23156165|942.21502040|237310.85315940
				1517578500|939.99999999|921.72092093|935.00000000|939.80000000|930.18779521|291823.36940320
				1517578200|952.00000000|934.38075511|939.80000000|949.79399997|946.32368421|444120.57818396
				1517577900|949.99998999|921.44583805|949.99998999|926.54831435|937.92901166|299146.19966701
				1517577600|932.81292864|893.08000001|926.30358224|893.08000001|917.74611896|447040.30782088
				1517577300|910.17999530|873.59386513|894.85884953|909.17537530|889.84989498|1109227.23626460
				1517577000|951.05311466|905.37731182|909.17537530|933.46676272|930.80770569|1301934.87321760
				1517576700|935.00000000|888.39499998|933.46676272|892.67000000|912.01148572|612202.55862691
				1517576400|914.99999999|867.82499997|889.56000003|877.39499999|890.65619644|1030159.48226380
				1517576100|886.00960585|852.21928733|877.99999997|860.82756294|868.15786068|1100503.14018160
				1517575800|866.12542699|777.14999997|864.86000000|782.00000002|813.09397198|782211.87594380
				1517575500|785.11548690|776.99000004|782.00000002|785.11548687|779.03798514|407731.71241980
				1517575200|790.07453983|779.00000000|780.00000000|787.95846889|785.71022730|346557.63134442
				1517574900|810.82756294|787.95846889|788.76705291|810.82756294|795.16128376|365472.20475413
				1517574600|813.75916084|802.00000000|810.82756299|808.18920068|807.66964809|425085.67159181
				1517574300|818.95729516|808.18920068|808.18920068|816.03779228|816.82215500|630510.41135353
				1517574000|824.50000000|812.59000006|816.03779177|819.22700000|814.70123090|561140.53918603
				1517573700|827.28999997|818.00000000|821.00000000|825.50000000|822.19082057|301954.02749131
				1517573400|832.36260019|825.18000001|827.99999988|832.36260019|830.26848441|325053.56092365
				1517573100|840.69479219|832.36260016|832.36260016|840.69479219|836.08498874|270860.75135254
				1517572800|847.03713661|840.00000000|840.00000000|844.50362574|843.74210608|169234.15963265
				1517572500|849.64445301|840.85445309|844.84445310|846.74445332|845.98646599|161287.37435871
				1517572200|851.20000000|840.00000000|846.73445314|841.00000000|845.18041977|116825.23986166
				1517571900|848.99999999|841.00000000|841.00000000|848.00000006|845.29468015|122868.93382017
				1517571600|852.85978752|848.00000002|848.50000000|850.00000000|850.63213580|101763.66515052
				1517571300|859.90743396|850.00000000|852.38022868|859.90743396|853.76561089|150522.99002110
				1517571000|861.00000000|855.99999964|859.97743402|861.00000000|858.12580332|297587.01863401
				1517570700|867.74440951|860.37662046|861.00000000|866.19606667|863.03114412|29557.30920395
				1517570400|870.59336000|865.00000012|868.81615500|869.00000000|869.55490109|133038.05772244
				1517570100|870.59336022|864.52000000|869.00000000|869.79999996|868.55827522|34564.75976755
				1517569800|875.62500000|868.11481684|869.99999989|871.76118019|871.16545183|99458.04759096
				1517569500|875.00000000|864.34125100|872.99999981|870.62500012|868.80389889|192302.85715013
				1517569200|876.99999995|870.62500000|870.62500009|873.00000000|874.44556476|77627.56970707
				1517568900|885.03479997|874.00000000|874.64094994|885.03479996|881.38185523|155057.33012844
				1517568600|885.03480000|875.99999987|885.00000000|875.99999987|882.61156760|128252.58955347
				1517568300|876.34255152|871.09224039|874.63984056|873.13016774|873.14248480|55610.48042929
				1517568000|877.39999998|870.00000000|873.13016775|876.13647151|874.13570271|83600.89361803
				1517567700|877.89560950|870.00000043|876.13647151|871.29999985|871.88711273|111391.12866210
				1517567400|871.90440256|867.56657017|871.29999985|868.90000000|869.92104438|66240.31775475
				1517567100|874.34700671|868.55400003|868.55400006|874.34700671|871.66762048|22961.51265240
				1517566800|876.13647143|870.00000000|874.34700671|870.45479018|871.99905881|99804.26694857
				1517566500|877.97785956|870.11090000|870.52289926|877.97785956|871.95851099|229437.01364139
				1517566200|881.60000000|875.12169810|877.97785956|875.12169810|880.51803939|161877.68092164
				1517565900|888.80385500|875.12169810|875.12169810|887.74800953|882.48286594|84719.72741800
				1517565600|895.91385502|883.96385508|886.00099033|893.50000001|886.07329238|47817.32402867
				1517565300|900.00000000|893.50000001|893.50000001|897.58623778|896.51739328|149266.69763620
				1517565000|899.19660124|892.94869961|893.24623792|894.69514666|895.74391723|164380.61184030
				1517564700|906.78942756|885.42572209|899.19660133|886.89572207|896.94363620|179426.88927862
				1517564400|889.91610620|882.09035139|886.18544733|882.69035121|885.93608535|93545.17424198
				1517564100|886.18544733|882.69035037|882.69035151|886.18544733|884.69582248|35843.53770052
				1517563800|890.88187303|885.04222929|888.45034992|885.08715534|888.79288723|423574.08262450
				1517563500|900.21735604|866.92236955|891.68070903|869.20000000|877.92412407|713734.98659790
				1517563200|877.82043193|865.00000001|869.20000000|877.82043193|868.22646420|573689.44163665
				1517562900|879.00000008|872.37181778|877.82043193|878.37761072|876.41429705|451040.39531514
				1517562600|891.42132155|878.37761072|879.00000008|890.60619122|884.81656928|354415.48655071
				1517562300|895.99999983|890.60619122|890.60619122|895.42365940|893.61584602|209072.40656156
				1517562000|904.07116692|891.63847341|891.77000010|904.07116692|895.52880702|100421.26756653
				1517561700|904.07116793|898.10999997|904.07116712|898.96430118|902.91993114|60439.72177188
				1517561400|899.75999980|892.00000010|898.96430134|899.75999979|894.22655926|157677.06352692
				1517561100|900.30246350|896.30000003|896.63022535|896.30000003|899.65826406|44121.21782815
				1517560800|902.53815100|894.00000000|899.76480701|902.53815100|897.38137419|186477.48477587
				1517560500|911.22573992|897.00848710|902.12815105|900.00000000|901.75689985|163159.33037063
				1517560200|910.37891617|900.00000000|900.00000000|910.37891617|901.61294837|366685.01394095
				1517559900|922.00000001|907.69237094|908.00000000|922.00000001|915.55983194|155794.68988660
				1517559600|923.96800106|919.08800135|921.00000000|920.99999999|921.19366717|137450.65523327
				1517559300|924.34487287|911.66403003|924.34487287|912.83402962|918.18730889|129846.47600631
				1517559000|916.13436107|905.00000000|912.26402989|907.06372384|908.98994160|211050.06652838
				1517558700|922.41676843|905.00000023|905.61034159|922.41676825|914.74140428|77872.37302960
				1517558400|933.73024068|915.69157269|921.43209200|933.73024068|924.48847341|187815.13296759
				1517558100|936.99999996|925.25465477|934.63024062|936.99999996|930.03577505|74480.67423828
				1517557800|940.16927069|934.88665234|937.00000000|937.78002102|936.20938907|52989.53101820
				1517557500|950.45074000|936.00000013|937.78002101|938.99999997|945.75913159|73874.67845242
				1517557200|939.00000000|932.00000012|938.99999997|933.16680694|935.38668720|42822.18961745
				1517556900|935.99999990|931.16680613|931.16680613|935.99999990|932.69815169|16788.36900777
				1517556600|938.45460300|931.16680625|935.99999972|935.14608129|935.13962914|104467.23590340
				1517556300|947.99999981|930.00000001|937.99999983|944.00000013|935.43676471|136089.57570068
				1517556000|950.00000000|943.94517183|948.01999976|948.00000011|947.08546708|82593.81033173
				1517555700|964.99999967|947.29050533|948.00000004|960.00000126|952.60696133|79408.57556840
				1517555400|970.00000000|951.00000089|960.00000122|953.57999972|967.12204069|590745.07536522
				1517555100|958.06491500|951.00000000|956.04060600|953.57999971|954.25702982|692187.11585649
				1517554800|965.96147000|947.29050531|953.57999971|949.91954372|956.41178051|377714.31681005
				1517554500|952.00000001|931.00000000|942.57761710|931.50000000|946.74130776|279965.94119859
				1517554200|933.99354798|926.72098983|931.50000000|929.32984204|931.00886799|214595.95960773
				1517553900|929.83379841|911.00000014|927.58118335|915.16137308|920.35402800|158197.24413900
				1517553600|916.00000000|901.12000000|916.00000000|911.01000003|904.41229366|283431.67490534
				1517553300|917.73500000|902.59821505|911.01000003|907.00090013|908.79580355|188369.84907912
				1517553000|909.26840697|904.00000073|907.00090013|907.00000003|906.78332678|92887.87333917
				1517552700|919.29341651|903.99999974|907.00000003|915.05000056|908.77090058|325123.76197409
				1517552400|924.60000115|914.00000002|915.30000034|924.60000115|917.13134736|179971.66653033
				1517552100|929.00000052|914.00000001|929.00000046|919.00000000|917.17191374|294011.22934812
				1517551800|931.99999982|919.00000000|919.00000000|928.39050000|921.72599506|212937.63255054
				1517551500|940.11999986|927.10000000|927.10000000|937.00000001|934.14168071|103216.00098743
				1517551200|948.10439300|937.00000000|937.00000000|943.00000000|941.07408022|170051.08682024
				1517550900|951.50000000|940.10000001|943.00000000|946.00000143|945.05928461|117061.43716937
				1517550600|951.95000000|946.00000001|946.00000122|951.12000000|948.88563126|281687.90129367
				1517550300|956.00000001|951.12000000|951.12000000|955.00000002|952.24844631|104343.37564774
				1517550000|961.99999962|955.00000002|955.00000002|956.31500141|955.26066723|157128.03832809
				1517549700|962.39000000|955.00000002|956.31500083|955.00000004|957.51198881|46093.96380618
				1517549400|963.09399811|955.00000002|955.00000046|963.09399811|957.18667704|89181.33834562
				1517549100|966.63052262|963.09399811|963.09399811|965.43782890|965.15375228|68515.53133825
				1517548800|976.98123680|966.63052262|966.63052262|976.98123680|967.38555641|6659.92677111
				1517548500|978.00000000|966.92709360|976.98123688|969.50289823|970.78368374|19912.45557603
				1517548200|969.50289824|959.99999999|969.50289788|961.03790145|961.83989579|135246.87392702
				1517547900|969.52289983|961.03790145|961.03790145|966.00000014|963.08536872|202980.54156140
				1517547600|969.89999991|965.00000003|969.52289998|965.24000147|968.70536627|40690.64292872
				1517547300|968.14000000|962.13000003|965.24000092|962.13000003|964.80942944|136457.71245639
				1517547000|966.49999974|962.14000000|963.99999973|965.00000000|963.83554540|23236.35161350
				1517546700|968.00000000|962.13000137|965.00000000|962.13000137|962.70897299|23173.06246203
				1517546400|968.50000000|962.13000081|968.00000000|962.14000000|966.95118828|29821.25675899
				1517546100|968.52290069|962.14000002|962.36000019|968.52289787|965.39886060|105909.87419015
				1517545800|968.52290061|962.36434409|962.36434409|963.70437868|966.50728321|29439.16758263
				1517545500|978.62016087|963.70437868|963.70437868|978.62016087|969.49197157|57273.45878579
				1517545200|979.71065500|973.72706044|973.72706242|978.62016111|978.98860906|36757.03054213
				1517544900|978.62016117|971.00000263|978.62016110|974.99999996|974.25233669|96564.56796086
				1517544600|975.70999738|971.00000100|975.00000000|972.99999996|974.66045478|20323.99914096
				1517544300|980.00000000|970.00000000|970.00000002|976.27270352|974.42177964|35288.74064284
				1517544000|979.97566198|974.53285006|979.97566198|977.80999996|975.30613057|43012.57575092
				1517543700|982.08100009|976.51810336|976.51810336|980.00000124|979.45037692|6072.72681547
				1517543400|987.80999993|979.95132421|980.00000025|987.80999993|983.07073660|77008.36984398
				1517543100|997.49999955|975.91252352|987.95846889|996.00000000|981.60667456|242726.65199628
				1517542800|1002.40000000|995.86983502|997.49999994|1000.97600006|997.71560904|114941.37747829
				1517542500|1003.04289470|997.20200034|998.00000051|998.86628655|999.99560553|31519.34457883
				1517542200|1000.00000000|991.00000080|997.20200010|993.99999934|996.06424653|16893.55299245
				1517541900|993.99999935|990.00000001|993.99999841|991.69999988|991.58329534|96766.99619340
				1517541600|997.20101857|990.00000000|991.89001911|993.00000091|993.51433683|54270.41895881
				1517541300|999.79999999|983.00000018|999.79999999|983.98999998|996.68954845|30704.93127704
				1517541000|985.99786798|981.99999999|983.98999999|985.99786798|983.80940642|37351.83077980
				1517540700|991.70301510|980.46419897|985.99786806|988.04662037|986.90658157|168701.40192189
				1517540400|999.99999999|985.87299539|988.04662039|999.51699997|995.02383386|59849.78314002
				1517540100|999.51699999|977.99999998|999.51699997|977.99999998|992.98295305|86474.59106818
				1517539800|978.00000000|970.09999863|978.00000000|970.09999918|976.14721334|123093.67162342
				1517539500|972.09999996|965.10000027|970.09999925|972.09999996|967.13946004|70512.70066914
				1517539200|974.81685487|966.11410002|972.10000000|966.11410003|971.02418839|34927.94207802
				1517538900|971.99999920|965.10000022|967.00000000|971.99999920|966.12022545|52611.10319610
				1517538600|975.99999999|969.00000000|971.99999949|973.99999991|973.39363892|146946.51745572
				1517538300|973.99999994|966.69400096|973.00000000|973.90259994|970.07537876|43996.70620284
				1517538000|975.99999991|966.10000018|973.99999997|975.99999991|971.04027000|161104.92563788
				1517537700|985.93772078|970.92319578|975.99999996|980.71971724|974.34808071|616269.77187679
				1517537400|985.93772171|973.00000030|980.71971724|980.71971802|982.94356738|74732.40614354
				1517537100|980.71971988|970.66000000|980.71971906|970.66404209|974.87795389|14453.32668539
				1517536800|970.66404290|965.10000057|970.66404239|967.50000000|968.68371595|41174.28451932
				1517536500|973.04803291|961.55290152|967.50000000|973.04803291|966.85762788|76911.34610323
				1517536200|977.93772168|967.78000020|967.78000020|975.49287999|974.67921251|53487.27322708
				1517535900|985.08254324|964.27837086|975.49288000|964.27837086|968.43401714|523235.13669847
				1517535600|967.78000020|964.24300008|965.24300008|967.74999971|966.45595659|161762.22268482
				1517535300|967.78000020|962.00000000|967.74999957|965.90000001|964.85349656|163416.97216910
				1517535000|987.28822853|965.90000000|965.90000000|987.28822853|969.45364323|133445.05920875
				1517534700|990.44090088|982.37634699|987.28822874|987.47662252|986.49230408|5895.89526731
				1517534400|997.29667046|982.33595487|987.47662255|997.29667046|989.53374689|105091.15010005
				1517534100|1008.73892972|992.67669959|998.29664946|1002.30917432|1002.33344598|106051.21571262
				1517533800|1002.61739771|975.19000009|999.08917441|975.99999992|989.91525546|258882.36060096
				1517533500|980.75612268|971.10855938|975.99999992|974.99999992|975.42669703|253010.06853230
